,H1_L1
0,0.18301704869381608
1,0.18301704869381608
2,0.18301704869381608
3,0.1820511704639468
4,0.12461954237026529
5,0.12461954237026529
6,0.12461954237026529
7,0.17053334208637339
8,0.17053334208637339
9,0.17053334208637339
10,0.17053334208637339
11,0.14595709302601811
12,0.07310864713491794
13,0.19055667564207046
14,0.19055667564207046
15,0.19055667564207046
16,0.19055667564207046
17,0.19055667564207046
18,0.19055667564207046
19,0.20008825128087482
20,0.10765653713428758
21,0.2751183074391049
22,0.3593436072137888
23,0.3332650434832207
24,0.24991167379262724
25,0.16733943977815768
26,0.16733943977815768
27,0.24551895528094725
28,0.2574974606107584
29,0.2735541208307498
30,0.21738557544517412
31,0.21307404856475787
32,0.12516577736782541
33,0.18396982496358472
34,0.11242705452058299
35,0.11855735075777407
36,0.11894443534934607
37,0.15514431655630745
38,0.15514431655630745
39,0.15514431655630745
40,0.07926039894738901
41,0.07926039894738901
42,0.15900824510932243
43,0.15900824510932243
44,0.25703558600443577
45,0.24615571288660643
46,0.24615571288660643
47,0.24615571288660643
48,0.24615571288660643
49,0.17777518705704676
50,0.17777518705704676
51,0.17777518705704676
52,0.17777518705704676
53,0.23953663871557485
54,0.23953663871557485
55,0.27408049858240924
56,0.6299083630259306
57,0.5318810221308172
58,0.5318810221308172
59,0.5318810221308172
60,0.5318810221308172
61,0.5373640601861582
62,0.4439004097193413
63,0.4439004097193413
64,0.20949339379061716
65,0.09630531152536248
66,0.09630531152536248
67,0.09630531152536248
68,0.09630531152536248
69,0.14680372122015595
70,0.14680372122015595
71,0.1424120834361745
72,0.1514445685766468
73,0.09663283237228759
74,0.09663283237228759
75,0.0656567877642309
76,0.059530894835265746
77,0.09673377927890858
78,0.09916164984086473
79,0.09916164984086473
80,0.09916164984086473
81,0.1294593803533266
82,0.1294593803533266
83,0.22027344167565432
84,0.3321231233760611
85,0.29903089876317945
86,0.29903089876317945
87,0.29903089876317945
88,0.29903089876317945
89,0.29903089876317945
90,0.2889512501838435
91,0.2889512501838435
92,0.3661755851048718
93,0.23023734257965023
94,0.24471057716456923
95,0.35128867022953103
96,0.4309066993511128
97,0.4309066993511128
98,0.4309066993511128
99,0.4309066993511128
100,0.40092770502256625
101,0.40092770502256625
102,0.40092770502256625
103,0.3337201198775577
104,0.3288850392008751
105,0.24676010675459548
106,0.06750967644963679
107,0.06750967644963679
108,0.06750967644963679
109,0.06750967644963679
110,0.2085141853384047
111,0.2085141853384047
112,0.2085141853384047
113,0.05129164353699944
114,0.11619774095345003
115,0.20288414226567064
116,0.20288414226567064
117,0.20288414226567064
118,0.005492048245973269
119,0.005492048245973269
120,0.005492048245973269
121,0.005492048245973269
122,0.005492048245973269
123,0.056041217532820875
124,0.12560998747766083
125,0.12560998747766083
126,0.2575387665452076
127,0.40324535890896285
128,0.40324535890896285
129,0.33253628553966674
130,0.3270442372936935
131,0.3488956753440946
132,0.3488956753440946
133,0.3488956753440946
134,0.3488956753440946
135,0.3488956753440946
136,0.4462446992164617
137,0.22877773611240704
138,0.22877773611240704
139,0.22877773611240704
140,0.22877773611240704
141,0.22877773611240704
142,0.22877773611240704
143,0.22877773611240704
144,0.22877773611240704
145,0.2069262980620059
146,0.07499751899445917
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.06777032485752388
155,0.0
156,0.0
157,0.0
158,0.05222740190064268
159,0.05222740190064268
160,0.1485403976632671
161,0.308442486781514
